run,pdf_read_ms,chunking_ms,model_embedding_ms,db_insert_ms,search_ms
1,31.5719,1.4801,2913.0062,51.5727,35.0935
2,37.4926,1.5915,3065.3794,37.1922,30.1308
3,31.0311,1.1001,3182.6917,35.0297,32.8745
4,54.0430,1.7746,3068.6784,26.5855,32.6415
5,44.0255,1.1415,3082.1978,32.8838,34.8620
6,34.5275,1.9971,3035.5228,38.2894,32.0332
7,62.7630,1.4099,3147.3821,44.0006,37.1493
8,65.1914,1.5438,3053.1147,46.6581,49.0544
9,78.2897,2.4011,3110.8648,44.8220,39.2601
10,58.3353,3.1974,3159.2512,33.7143,56.1966
11,40.5551,1.4206,3207.9683,46.6807,39.5013
12,58.0926,2.7059,3115.6975,43.7659,46.6042
13,48.8768,4.2714,3182.2370,45.6069,42.5942
14,49.4828,2.0996,3199.3591,38.5545,50.6648
15,41.9185,4.8186,3074.4432,48.1841,47.5539
16,37.1340,5.3635,3248.8710,46.1524,40.8183
17,51.5062,3.5420,3164.0083,36.7698,45.6563
18,61.6258,2.6158,3129.4569,42.7342,30.9544
19,59.0015,2.6921,3131.9638,62.4331,41.8335
20,50.2376,3.2840,3158.6936,25.3852,48.9578
21,46.1054,3.5555,3116.4054,49.2641,31.2140
22,55.5409,2.1813,3126.5633,45.2394,39.9711
23,58.1905,2.3461,3182.8585,41.4143,49.2462
24,64.8040,2.2733,3263.7598,56.5207,50.9781
25,69.5564,2.6202,3142.9539,45.8735,49.4057
26,65.8589,2.6777,3316.2937,40.1209,48.4714
27,49.3762,2.5856,3237.3772,48.4776,50.3701
28,39.6344,1.8702,3185.0765,48.9198,49.7575
29,54.6135,5.0118,3125.9488,43.7004,44.5499
30,67.0512,2.7924,3249.3893,51.9603,46.5721
31,62.9146,2.3008,3123.7001,52.1642,42.7209
32,47.7272,4.7850,3188.7451,46.7190,33.4485
33,55.4475,4.0580,3210.1400,49.4695,39.8538
34,51.2689,3.6899,3187.7916,54.9680,45.2317
35,47.4627,2.8949,3222.0028,37.9537,34.6483
36,50.6319,2.6362,3130.2270,48.0375,33.7892
37,59.7033,2.3141,3161.5684,51.0251,40.3988
38,40.3793,3.3432,3231.0366,50.2414,44.2994
39,54.0409,3.1813,3204.1220,77.4096,46.5509
40,40.8317,4.3695,3245.4496,39.3030,46.2297
41,63.7166,1.9347,3273.8638,43.9749,29.7096
42,50.1275,1.9878,3153.2835,49.4301,47.0610
43,46.2258,3.2977,3322.2828,43.3309,51.2657
44,49.4293,3.5277,3118.6553,35.8789,56.2555
45,45.5029,3.3613,3212.8673,53.5994,40.8362
46,45.0770,1.3844,3261.0596,51.6955,43.0501
47,51.2436,3.3733,3199.5627,42.7702,41.3900
48,39.4315,2.2609,3281.4337,52.1462,46.5950
49,69.0358,2.1092,3250.8413,53.9148,34.0411
50,84.3668,2.5864,3347.3385,53.5540,45.2340
51,54.4156,3.2981,3314.1146,48.4766,45.6661
52,60.1863,2.2332,3239.2559,48.3846,46.3743
53,37.4109,3.7858,3315.0154,50.2017,34.4069
54,57.0980,2.5473,3213.1435,52.5139,50.6280
55,36.2156,2.7482,3205.5966,48.4954,41.5665
56,45.3903,4.4472,3132.1600,48.2523,40.3901
57,57.7487,3.3736,3271.9212,50.5024,44.0187
58,35.1097,1.3857,3285.6057,46.6387,45.0265
59,57.6640,3.4135,3245.5985,81.6601,37.5244
60,46.2908,2.5557,3183.1484,44.5105,45.3864
61,75.4100,2.5645,3460.4510,47.3535,45.2593
62,44.9537,3.5827,3238.0134,51.1669,44.0449
63,45.9103,5.4949,3211.0951,41.9091,32.9196
64,50.0456,2.9471,3436.7298,54.9777,33.7104
65,54.5188,3.2678,3140.8021,46.6314,44.5911
66,53.5096,2.0730,3165.2938,51.5934,45.9918
67,48.4722,6.6947,3292.5991,53.2715,44.5561
68,47.3548,2.2241,3410.1350,47.0843,46.6035
69,66.8376,1.9774,3674.0863,55.4361,37.6006
70,65.4865,2.6298,3253.7708,51.2197,40.7287
71,71.4793,2.6067,3180.5761,44.2973,40.7187
72,54.8107,2.7873,3270.1957,49.9068,46.4160
73,50.7764,3.8726,3325.5490,49.7137,40.0475
74,47.0961,4.4993,3235.6915,41.1130,38.7550
75,57.4440,2.6809,3178.3840,52.3929,41.5350
